SimulationSecond,ReceiveRate,PacketsReceived,Average End to End,Package Delivery Ratio,NumberOfSinks,RoutingProtocol,TransmissionPower
180,17.408,34,0.00256706,0.85,10,AODV,7.5
181,14.848,29,0.00255575,0.725,10,AODV,7.5
182,16.384,32,0.00236892,0.8,10,AODV,7.5
183,14.848,29,0.00100759,0.725,10,AODV,7.5
184,14.336,28,0.00507992,0.7,10,AODV,7.5
185,16.384,32,0.00274097,0.8,10,AODV,7.5
186,17.92,35,0.00715059,0.875,10,AODV,7.5
187,15.872,31,0.00099983,0.775,10,AODV,7.5
188,13.312,26,0.00850631,0.65,10,AODV,7.5
189,17.92,35,0.00403194,0.875,10,AODV,7.5
190,15.872,31,0.000711144,0.775,10,AODV,7.5
191,14.336,28,0.000430497,0.7,10,AODV,7.5
192,10.752,21,0.00454774,0.525,10,AODV,7.5
193,12.288,24,0.0017065,0.6,10,AODV,7.5
194,14.336,28,0.00039513,0.7,10,AODV,7.5
195,13.312,26,0.000456346,0.65,10,AODV,7.5
196,13.824,27,0.00128061,0.675,10,AODV,7.5
197,12.8,25,0.000627305,0.625,10,AODV,7.5
198,10.752,21,0.00830625,0.525,10,AODV,7.5
199,10.752,21,0.0126293,0.525,10,AODV,7.5
200,15.36,30,0.0054328,0.75,10,AODV,7.5
201,6.656,13,0.0079371,0.325,10,AODV,7.5
202,10.24,20,0.00127086,0.5,10,AODV,7.5
203,10.24,20,0.00562226,0.5,10,AODV,7.5
204,7.168,14,0.00153155,0.35,10,AODV,7.5
205,6.656,13,0.00513864,0.325,10,AODV,7.5
206,0.512,1,0.000885457,0.025,10,AODV,7.5
207,3.584,7,0.00201246,0.175,10,AODV,7.5
208,6.144,12,0.0162186,0.3,10,AODV,7.5
209,9.216,18,0.0105243,0.45,10,AODV,7.5
210,12.8,25,0.00161261,0.625,10,AODV,7.5
211,6.656,13,0.00858871,0.325,10,AODV,7.5
212,8.704,17,0.0111969,0.425,10,AODV,7.5
213,7.168,14,0.0016919,0.35,10,AODV,7.5
214,15.872,31,0.00384249,0.775,10,AODV,7.5
215,13.824,27,0.00115656,0.675,10,AODV,7.5
216,6.144,12,0.000728975,0.3,10,AODV,7.5
217,4.096,8,0.041,0.2,10,AODV,7.5
218,7.168,14,0.00528175,0.35,10,AODV,7.5
219,6.656,13,0.00285025,0.325,10,AODV,7.5
